candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,class
check former trump advisor carter page,4,6,2,98,0,0,0,1,101,0
indian foreign policy advisor,0,4,55,13,0,0,0,10,78,1
spectator handy regulation guide,0,4,38,10,0,0,0,7,55,1
eric trump says,5,3,20,125,0,0,1,16,162,0
hillary rodham clinton,3,3,140,60,0,0,0,0,200,1
used chemical weapons,1,3,31,3,0,0,161,20,215,0
using chemical weapons,1,3,19,4,0,0,149,8,180,0
use chemical weapons,1,3,31,14,0,2,442,14,503,0
shashi tharoor,2,2,0,0,0,25,2,8,35,1
ted allen mosby,0,3,110,0,0,0,0,35,145,1
ted john cruz,0,3,3,1,0,0,0,0,4,1
sean spicer admits,0,3,18,65,0,5,2,18,108,0
hillary clinton,3,2,150,50,0,0,0,0,200,1
ibm center,3,2,220,140,0,7,92,85,544,1
france declares,1,2,22,70,0,0,0,8,100,0
holocaust center,1,2,64,40,0,1,25,20,150,1
chemical weapons,1,2,24,5,0,1,153,11,194,0
marie claire,1,2,456,270,0,14,151,162,1053,1
airforce attack,0,2,25,66,0,0,0,9,100,0
russia tariff,0,2,16,43,0,0,0,6,65,0
colin farrel,0,2,110,0,0,0,0,30,140,1
call pelosi,0,2,8,58,0,5,18,11,100,0
get germany,0,2,4,38,0,8,5,5,60,0
white house,0,2,407,2,0,6,32,28,475,1
alex jones,0,2,159,2,0,4,1,12,178,1
donald trump,0,2,186,5,0,2,1,32,226,1
press secretary,0,2,84,7,0,2,128,12,233,0
foreign policy,0,2,10,13,0,0,164,10,197,0
carter page,0,2,803,14,0,2,21,93,933,1
united airlines,0,2,263,16,0,0,7,15,301,1
gas chambers,0,2,9,27,0,7,190,5,238,0
eric trump,0,2,1077,37,0,2,15,177,1308,1
holocaust centers,0,2,208,123,0,5,66,62,461,1
presidential election,0,2,130,77,0,4,53,36,300,1
voting booth,0,2,195,116,0,6,64,69,450,1
trump cabinet,0,2,238,141,0,8,78,85,550,1
congress party,0,2,864,500,0,27,284,325,2000,1
siachen glacier,0,2,1298,771,0,40,427,464,3000,1
kashmir valley,0,2,102,67,0,3,45,33,250,1
abortion clinic,0,2,42,26,0,2,18,12,100,1
former trump,0,2,12,165,0,0,0,4,181,0
sean spicer,0,2,8005,190,0,48,106,846,9195,1
influenced,6,1,30,0,1,0,194,15,240,0
father,6,1,14,0,1,1,212,5,233,0
family,5,1,12,0,9,3,248,19,291,0
war,5,1,11,0,2,2,130,22,167,0
heartbroken,5,1,3,0,13,1,138,8,163,0
ssc,4,1,4,0,0,40,10,3,33,1
facebook,4,1,48,0,2,0,20,2,72,1
instagram,4,1,102,0,18,0,52,22,194,1
messi,4,1,95,0,20,0,49,25,189,1
lionel,4,1,118,0,18,0,59,35,230,1
need,3,1,6,0,6,6,265,10,293,0
want,3,1,2,0,5,3,255,17,282,0
made,3,1,3,0,1,3,225,11,243,0
seanspicer,3,1,10,0,12,0,185,6,213,0
mouth,3,1,4,0,1,1,148,10,164,0
doj,3,1,0,0,1,14,2,3,21,1
wolsey,3,1,59,0,3,1,26,8,97,1
john,3,1,16,0,2,0,5,2,25,1
cag,3,1,3,0,2,48,22,10,28,1
james,3,1,40,0,5,7,12,15,29,1
wwe,3,1,2,2,0,42,11,2,30,1
judy,3,1,18,3,3,5,7,7,31,1
doreen,3,1,56,0,0,0,27,0,32,1
see,2,1,11,0,20,6,320,23,380,0
guy,2,1,1,0,1,2,307,12,323,0
worse,2,1,8,0,7,3,257,13,288,0
saying,2,1,7,0,2,0,216,5,230,0
words,2,1,2,0,16,2,199,6,225,0
best,2,1,8,0,17,2,173,14,214,0
making,2,1,2,0,6,0,168,15,191,0
belgium,2,1,283,0,60,0,149,58,550,1
say,1,1,11,0,21,4,623,34,693,0
man,1,1,24,0,17,3,359,24,427,0
take,1,1,7,0,24,4,339,15,389,0
fucking,1,1,10,0,22,11,283,62,388,0
shit,1,1,8,0,4,4,333,26,375,0
sink,1,1,30,0,0,1,293,1,325,0
beer,1,1,10,0,1,4,273,11,299,0
ignorant,1,1,6,0,7,6,269,9,297,0
week,1,1,7,0,2,2,263,5,279,0
sure,1,1,15,0,7,4,225,13,264,0
next,1,1,15,0,24,1,189,6,235,0
thought,1,1,4,0,5,4,215,5,233,0
tell,1,1,5,0,19,0,194,10,228,0
wait,1,1,7,0,52,4,127,26,216,0
give,1,1,4,0,27,1,166,12,210,0
enough,1,1,3,0,12,4,169,12,200,0
call,1,1,6,0,12,3,173,4,198,0
work,1,1,5,0,2,1,177,10,195,0
life,1,1,5,0,7,5,161,13,191,0
fact,1,1,1,0,3,5,166,12,187,0
resign,1,1,6,0,8,10,140,13,177,0
chemical,1,1,10,0,3,1,153,7,174,0
hold,1,1,20,0,28,4,111,8,171,0
hitler,0,1,2080,0,189,16,62,81,2428,1
people,0,1,52,0,56,15,1274,63,1460,0
spicer,0,1,707,0,294,12,37,83,1133,1
get,0,1,30,0,72,11,895,41,1049,0
one,0,1,22,0,45,20,887,37,1011,0
think,0,1,8,0,30,5,868,23,934,0
ivanka,0,1,725,0,111,5,20,47,908,1
us,0,1,5,0,1,345,514,22,887,0
said,0,1,29,0,5,5,762,27,828,0
time,0,1,26,0,69,24,617,33,769,0
go,0,1,16,0,45,15,612,63,751,0
really,0,1,14,0,23,26,585,90,738,0
job,0,1,43,0,3,10,637,39,732,0
syria,0,1,663,0,25,2,10,30,730,1
assad,0,1,656,0,40,1,6,17,720,1
stupid,0,1,20,0,18,19,605,55,717,0
right,0,1,16,0,26,11,581,45,679,0
good,0,1,25,0,116,5,475,50,671,0
russia,0,1,555,0,42,6,11,28,642,1
potus,0,1,9,0,4,540,65,8,626,1
day,0,1,29,0,1,3,538,31,602,0
needs,0,1,4,0,4,3,555,18,584,0
idiot,0,1,7,0,10,16,488,47,568,0
bad,0,1,14,0,15,8,496,27,560,0
holocaust,0,1,395,0,7,2,120,29,553,1
united,0,1,254,0,102,15,127,51,549,1
going,0,1,5,0,17,3,492,27,544,0
administration,0,1,51,0,3,4,464,22,544,0
history,0,1,31,0,12,2,482,16,543,0
fired,0,1,19,0,2,17,458,24,520,0
new,0,1,59,0,80,6,314,41,500,0
way,0,1,14,0,18,2,446,19,499,0
pepsi,0,1,229,0,145,13,37,36,460,1
sean,0,1,244,0,120,6,8,50,428,1
gas,0,1,27,0,5,7,369,18,426,0
eric,0,1,263,0,96,8,12,46,425,1
got,0,1,12,0,12,1,364,14,403,0
back,0,1,16,0,8,1,332,35,392,0
thing,0,1,3,0,2,3,367,17,392,0
real,0,1,11,0,17,21,306,31,386,0
fbi,0,1,11,0,0,352,8,13,384,1
fire,0,1,28,0,52,14,230,43,367,0
jews,0,1,298,0,16,3,29,20,366,0
look,0,1,9,0,48,3,292,12,364,0
putin,0,1,274,0,46,5,19,18,362,1
news,0,1,28,0,8,7,278,30,351,0
believe,0,1,1,0,4,3,324,17,349,0
america,0,1,255,0,50,6,2,35,348,1
used,0,1,11,0,2,4,316,14,347,0
dumb,0,1,7,0,23,3,282,30,345,0
stop,0,1,19,0,52,9,236,28,344,0
wh,0,1,2,0,1,322,4,7,336,1
trying,0,1,7,0,7,6,302,10,332,0
daddy,0,1,70,0,60,1,170,24,325,0
actually,0,1,15,0,26,2,263,17,323,0
wrong,0,1,7,0,4,14,271,24,320,0
keep,0,1,19,0,74,1,207,16,317,0
passover,0,1,238,0,3,12,21,41,315,1
makes,0,1,6,0,18,1,265,13,303,0
country,0,1,14,0,0,7,270,11,302,0
erictrump,0,1,161,0,127,0,12,1,301,1
first,0,1,13,0,28,1,239,12,293,0
cnn,0,1,3,0,2,254,25,6,290,1
read,0,1,13,0,40,2,214,18,287,0
great,0,1,16,0,48,7,178,27,276,0
media,0,1,18,0,22,0,209,22,271,0
world,0,1,19,0,10,5,223,14,271,0
true,0,1,5,0,16,3,221,17,262,0
may,0,1,18,0,7,1,189,38,253,0
tweet,0,1,16,0,13,2,199,21,251,0
twitter,0,1,142,0,25,0,58,23,248,1
show,0,1,12,0,19,3,192,16,242,0
dad,0,1,48,0,9,2,144,29,232,0
moscow,0,1,213,0,6,0,2,11,232,1
story,0,1,3,0,0,1,221,6,231,0
press,0,1,14,0,8,1,194,10,227,0
away,0,1,4,0,0,4,201,15,224,0
russian,0,1,197,0,9,2,5,11,224,1
love,0,1,7,0,27,4,165,20,223,0
gop,0,1,3,0,0,205,8,7,223,1
come,0,1,6,0,26,2,175,13,222,0
last,0,1,3,0,16,3,180,18,220,0
obama,0,1,169,0,18,4,6,21,218,1
truth,0,1,9,0,10,11,170,18,218,0
guess,0,1,5,0,31,0,174,3,213,0
hell,0,1,13,0,12,11,160,15,211,0
probably,0,1,3,0,23,0,175,8,209,0
attack,0,1,8,0,2,4,184,7,205,0
god,0,1,61,0,24,2,74,43,204,0
watch,0,1,13,0,39,7,128,14,201,0
ignorance,0,1,3,0,16,1,169,12,201,0
syrian,0,1,169,0,8,1,3,9,190,1
moron,0,1,5,0,2,9,160,13,189,0
put,0,1,8,0,3,2,168,7,188,0
looks,0,1,9,0,37,1,138,2,187,0
year,0,1,7,0,0,1,166,12,186,0
pr,0,1,1,0,0,180,2,2,185,0
least,0,1,1,0,1,2,173,7,184,0
hope,0,1,5,0,19,3,149,7,183,0
head,0,1,9,0,0,3,157,12,181,0
help,0,1,5,0,4,5,156,10,180,0
sad,0,1,5,0,22,7,95,50,179,0
remember,0,1,7,0,60,3,103,6,179,0
might,0,1,7,0,12,0,158,2,179,0
ass,0,1,4,0,0,7,150,15,176,0
latest,0,1,9,0,6,1,158,1,175,0
wonder,0,1,3,0,33,0,134,2,172,0
told,0,1,0,0,3,1,160,7,171,0
left,0,1,23,0,7,1,128,10,169,0
knew,0,1,3,0,2,2,148,9,164,0
long,0,1,1,0,6,2,152,2,163,0
ivankatrump,0,1,163,1,97,0,7,1,269,1
big,0,1,17,1,13,9,154,25,219,0
trump,0,1,1569,19,410,22,184,130,2334,1
neymar,0,1,105,0,20,0,54,21,200,1
